file_name,status,notes,override_params_json,reviewed_at,manual_burst_range_json,problem_tags,auto_retry_done
burst-Arecibo-Observatory-10-10-2021-125500-125600-typeIII.npy,discard,,,2026-08-11T01:26:15+00:00,,,
burst-Arecibo-Observatory-10-10-2021-150000-150000-typeIII.npy,discard,,,2026-08-11T01:26:20+00:00,,,
burst-Arecibo-Observatory-10-13-2021-115100-115200-typeIII.npy,discard,,,2026-08-11T01:26:24+00:00,,,
burst-Arecibo-Observatory-10-23-2021-151000-151300-typeIII.npy,discard,,,2026-08-11T01:26:29+00:00,,,
burst-Arecibo-Observatory-10-25-2021-180500-180500-typeIII.npy,discard,,,2026-08-11T01:26:33+00:00,,,
burst-Arecibo-Observatory-10-26-2021-140600-141300-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-12T19:34:13+00:00,"{""start_s"": 68.0, ""end_s"": 102.0}",,
burst-Arecibo-Observatory-10-28-2021-124600-124700-typeIII.npy,discard,,,2026-08-11T01:26:58+00:00,,,
burst-Arecibo-Observatory-10-30-2021-171800-171800-typeIII.npy,discard,,,2026-08-11T01:27:04+00:00,,,
burst-Arecibo-Observatory-10-30-2021-160900-160900-typeIII.npy,discard,,,2026-08-11T01:27:08+00:00,,,
burst-Arecibo-Observatory-10-31-2021-152600-152700-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:27:34+00:00,"{""start_s"": 90.001, ""end_s"": 120.0}",,
burst-Arecibo-Observatory-11-01-2021-110600-110700-typeIII.npy,discard,,,2026-08-11T01:27:39+00:00,,,
burst-Arecibo-Observatory-11-03-2021-140600-140800-typeIII.npy,discard,,,2026-08-11T01:27:49+00:00,,,
burst-Arecibo-Observatory-11-17-2021-140900-140900-typeV.npy,discard,,,2026-08-11T01:28:23+00:00,,,
burst-Arecibo-Observatory-12-15-2021-143200-143200-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:29:02+00:00,"{""start_s"": 65.0, ""end_s"": 90.0}",,
burst-Arecibo-Observatory-12-21-2021-174300-174400-typeIII.npy,discard,,,2026-08-11T01:29:11+00:00,,,
burst-Arecibo-Observatory-12-23-2021-175500-175800-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:29:30+00:00,"{""start_s"": 100.0, ""end_s"": 180.0}",,
burst-Arecibo-Observatory-12-23-2021-183100-183100-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:29:49+00:00,"{""start_s"": 80.0, ""end_s"": 95.0}",,
burst-Arecibo-Observatory-12-28-2021-152700-152700-typeIII.npy,discard,,,2026-08-11T01:29:55+00:00,,,
burst-Arecibo-Observatory-01-01-2022-134200-134500-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:30:25+00:00,"{""start_s"": 95.0, ""end_s"": 165.001}",,
burst-Arecibo-Observatory-01-07-2022-121100-121100-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:30:48+00:00,"{""start_s"": 85.0, ""end_s"": 95.001}",,
burst-Arecibo-Observatory-01-09-2022-181800-182400-typeIII.npy,discard,,,2026-08-11T01:30:59+00:00,,,
burst-Arecibo-Observatory-01-10-2022-184800-184800-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:31:19+00:00,"{""start_s"": 85.0, ""end_s"": 115.0}",,
burst-Arecibo-Observatory-01-10-2022-163600-163600-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:31:58+00:00,"{""start_s"": 70.0, ""end_s"": 80.0}",,
burst-Arecibo-Observatory-01-11-2022-181000-181000-typeIII.npy,discard,,,2026-08-11T01:32:04+00:00,,,
burst-Arecibo-Observatory-01-12-2022-143200-143200-typeV.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:32:22+00:00,"{""start_s"": 70.0, ""end_s"": 90.0}",,
burst-Arecibo-Observatory-01-13-2022-170900-171000-typeIII.npy,usable,,"{""known_burst_margin"": 10, ""base_threshold_sigma"": 12.0, ""suppression_ramp"": 2.0, ""burst_sigma"": 2.0, ""vrfi_coverage_threshold"": 0.1, ""vrfi_sigma"": 3.0}",2026-08-11T01:32:49+00:00,"{""start_s"": 105.001, ""end_s"": 120.0}",,
burst-Arecibo-Observatory-01-13-2022-113300-113300-typeIII.npy,discard,,,2026-08-11T01:32:54+00:00,,,
burst-Arecibo-Observatory-01-27-2022-144500-144600-typeV.npy,discard,,,2026-08-11T01:32:59+00:00,,,
